"","First Name","DataUse","AIConfidenceBefore","EmoConfidenceBefore","MemoryConfidenceBefore","Face1_Real","Face2_Real","Face3_AI","Face4_AI","Face5_AI","Face6_AI","Face7_Real","Face8_Real","Face9_Real","Face10_Real","Face11_AI","Face12_AI","Quiz1","Quiz2","Quiz3","AIConfidenceAfter","EmoConfidenceAfter","MemoryConfidenceAfter"
"66","Anonymous","Yes, I'm happy for my data to be included","3.0",NA,"3.0",1,1,0,1,0,1,1,1,1,1,NA,1,"Paired sample t-test","Paired sample t-test","One-tailed, confidence before > confidence after","4.0",NA,"3.0"
"67","Anonymous","Yes, I'm happy for my data to be included","3.0","4.0","6.0",1,1,1,1,1,1,0,1,1,1,1,1,"One sample t-test","Paired sample t-test","One-tailed, confidence before > confidence after","3.0","4.0","6.0"
"68","Anonymous","Yes, I'm happy for my data to be included","4.0","2.0","2.0",0,0,0,1,0,NA,0,NA,NA,0,NA,0,"One sample t-test","Paired sample t-test","One-tailed, confidence before > confidence after","8.0","2.0","3.0"
"69","Anonymous","Yes, I'm happy for my data to be included","3.0","1.0","1.0",1,1,1,1,1,1,1,1,1,1,1,1,NA,"Paired sample t-test","One-tailed, confidence before > confidence after","1.0","1.0","1.0"
"70","Anonymous","Yes, I'm happy for my data to be included","2.0","1.0","3.0",1,0,1,1,0,1,1,0,1,0,1,1,"One sample t-test","Paired sample t-test","One-tailed, confidence before > confidence after","4.0","1.0","2.0"
"71","Anonymous","Yes, I'm happy for my data to be included","7.0","3.0",NA,1,0,1,0,0,1,1,1,0,0,1,0,"One sample t-test","Correlation","One-tailed, confidence before > confidence after","9.0","3.0","1.0"
"72","Anonymous","Yes, I'm happy for my data to be included","7.0","2.0","4.0",1,0,0,1,0,0,NA,1,1,0,1,1,"One sample t-test","One sample t-test","One-tailed, confidence before > confidence after","5.0","3.0","2.0"
"73","Anonymous","Yes, I'm happy for my data to be included","3.0","1.0","2.0",1,1,0,1,1,1,1,1,0,1,1,1,"Chi-Square",NA,NA,NA,NA,NA
"74","Anonymous","Yes, I'm happy for my data to be included","1.0","3.0","3.0",1,1,1,1,1,1,1,0,1,1,1,1,"Paired sample t-test","Paired sample t-test","One-tailed, confidence before > confidence after","1.0","3.0","7.0"
"75","Anonymous","Yes, I'm happy for my data to be included","1.0","3.0","5.0",1,0,0,1,1,NA,NA,0,0,NA,1,NA,"One sample t-test",NA,NA,NA,NA,NA
"76","Anonymous","Yes, I'm happy for my data to be included",NA,NA,NA,1,1,0,1,0,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA
"77","Anonymous","Yes, I'm happy for my data to be included","1.0",NA,"1.0",1,1,0,0,0,1,0,0,0,0,1,1,"Paired sample t-test","Paired sample t-test","One-tailed, confidence before > confidence after","8.0",NA,NA
"78","Anonymous","Yes, I'm happy for my data to be included","3.0",NA,NA,1,1,0,0,1,1,0,0,0,0,0,0,"Paired sample t-test","Paired sample t-test","One-tailed, confidence before > confidence after","10.0","1.0","1.0"
"79","Anonymous","Yes, I'm happy for my data to be included","5.0","1.0","2.0",1,0,1,1,1,1,NA,0,0,0,1,1,NA,NA,"One-tailed, confidence before > confidence after","2.0","1.0","1.0"
"80","Anonymous","Yes, I'm happy for my data to be included",NA,NA,NA,1,1,0,1,0,1,0,0,0,1,1,1,"One sample t-test","Paired sample t-test","One-tailed, confidence before < confidence after",NA,NA,NA
"81","Anonymous","Yes, I'm happy for my data to be included","6.0","2.0","6.0",1,0,1,1,0,1,1,1,0,0,1,1,"Paired sample t-test","Paired sample t-test","One-tailed, confidence before > confidence after","4.0","2.0","6.0"
"82","Anonymous","Yes, I'm happy for my data to be included","8.0","3.0",NA,1,1,0,1,1,1,0,1,0,1,1,0,"One sample t-test","Chi Square","One-tailed, confidence before > confidence after","4.0","2.0",NA
"83","Anonymous","Yes, I'm happy for my data to be included",NA,NA,NA,1,1,1,1,0,1,1,1,1,NA,1,1,"One sample t-test",NA,NA,NA,NA,NA
