"","Participant_ID","session_id","age","major","gender","Openness","Conscientiousness","Extraversion","Agreeableness","Neuroticism","Intrinsic","Mood","NFC","SelfEsteem"
"1566","63",7554782,19,"Psychology","1",5.5,6,7,4.5,5.5,2.333333333,3,2.833333333,2
"1567","65",7554936,18,"Psychology","1",5.5,5,4.5,5,4,2.733333333,6,3.166666667,5
"1568","66",7554999,21,"animal science","1",4.5,5,4,4,3,2.466666667,2,3.333333333,5
"1569","67",7555047,21,"Neurobiology, Physiology, and Behavior","1",6,6.5,5,5.5,2.5,3.133333333,6,3.833333333,6
"1570","68",7556988,23,"psychology","1",6.5,5.5,4,5,2,3.133333333,6,4,7
"1571","69",7557045,22,"Communication","1",4.5,4.5,4,5,4,2.8,6,3.166666667,6
"1572","70",7557109,19,"Pscyhology","1",5.5,6,3,5.5,3,2.933333333,4,3.5,3
"1573","71",7557158,20,"Neurobiology, Physiology, Behavior","1",5,3,4.5,6,2,2.466666667,4,2.666666667,6
"1574","72",7557265,19,"Undeclared","2",5,5.5,5.5,6,2,2.866666667,4,3.166666667,6
"1575","73",7557309,18,"Psychology and Economics","1",6,5.5,4.5,6,5,2.666666667,3,3.333333333,2
"1576","74",7572963,19,"Animal Science","1",6,6,3,5,3.5,2.8,4,3.333333333,3
"1577","75",7573089,21,"Psychology","1",4.5,5.5,4,4,5,2.466666667,3,3,5
"1578","77",7573315,22,"Human Development","1",4,6,1.5,6,2.5,2,5,3.166666667,5
"1579","78",7573373,19,"English","1",5,5.5,4.5,5.5,4.5,2.533333333,4.5,2.833333333,3
"1580","79",7573410,20,"Biological Sciences","2",6,6,6,4,2.5,2.666666667,5,3.166666667,5
"1581","80",7573485,21,"Cell Biology but switching to Managerical Economics","1",4.5,4.5,4.5,4,5.5,2.8,3.5,2.833333333,3
"1582","82",7581308,19,"Community and Regional Development","1",6,4,3,3,3,3.2,4,3.833333333,4
"1583","84",7581468,19,"pSYCHOLOGY","2",3.5,5,2.5,5.5,3.5,3.133333333,5.5,2.666666667,3
"1584","85",7581527,21,"Communications","2",6,5.5,1.5,4,3.5,2.933333333,5.5,4.333333333,4
"1585","86",7581626,19,"Human Development","1",4.5,5,3.5,5.5,2.5,2.466666667,4.5,3,5
"1586","87",7581681,19,NA,"1",6.5,6.5,3.5,4.5,5,3.066666667,6,3.166666667,5
"1587","89",7581819,19,"Electrical Engineering","1",6,4.5,6,4,2,2.533333333,7,3.166666667,5
"1588","90",7581885,21,"Neurobiology, Physiology and Behavior","1",2,6.5,6.5,4,2,1.533333333,2.5,2.166666667,5
"1589","91",7605054,21,"Communications","1",5.5,4,6,4.5,3,2.466666667,5,2.666666667,6
"1590","912044691",7467918,18,"Neurobiology, Physiology, and Behavior","1",6,6.5,6,6,2,3,7,3.5,5
"1591","912290173",7483990,18,"psychology","1",7,6.5,6,4.5,2,3.6,4,3.833333333,5
"1592","92",7605151,18,"psychology","1",6,6,5,4.5,6,2.666666667,4,2.666666667,4
"1593","93",7605269,18,"Psychology","1",5,6,4.5,5,5,3.066666667,7,2.5,5
